spread,miles_feature,h,weeks,b,p
NWE_GC_1,BOTH_MILES_CHG4,2,52,5.894982897121687,0.19335723488476864
NWE_GC_1,BOTH_MILES_VS_8W,2,52,-0.5128449779478048,0.9190206219223866
NWE_GC_1,P5_MILES_SURPRISE,4,52,-0.0167012546137895,0.0440011706488863
NWE_GC_1,P5_MILES_CHG1,4,52,13.102549804121148,0.5111061077966581
NWE_GC_1,P5_MILES_CHG4,4,52,-13.732122539308076,0.03944491163906692
NWE_GC_1,P5_MILES_VS_8W,4,52,-20.55152027123126,0.00035242103033809646
NWE_GC_1,BOTH_MILES_SURPRISE,4,52,0.001102758266066607,0.822037779123724
NWE_GC_1,BOTH_MILES_CHG1,4,52,25.117576660024554,0.0925240762148194
NWE_GC_1,BOTH_MILES_CHG4,4,52,-5.94244395388467,0.45752815102116273
NWE_GC_1,BOTH_MILES_VS_8W,4,52,-11.312568433521415,0.23931836671747764
SING_GC_1,P5_MILES_SURPRISE,1,52,-0.0014098064786531785,0.7381077772052969
SING_GC_1,P5_MILES_CHG1,1,52,-0.42257008951451125,0.9529340675012529
SING_GC_1,P5_MILES_CHG4,1,52,-0.1145088002762743,0.9671028297829611
SING_GC_1,P5_MILES_VS_8W,1,52,-4.893620381809543,0.11832046560695425
SING_GC_1,BOTH_MILES_SURPRISE,1,52,-5.108892965800544e-05,0.971291299271034
SING_GC_1,BOTH_MILES_CHG1,1,52,-13.279827789999585,0.1536921855296045
SING_GC_1,BOTH_MILES_CHG4,1,52,-1.6518882689200063,0.47117644481709986
SING_GC_1,BOTH_MILES_VS_8W,1,52,-7.1258586096023695,0.04283370129599657
SING_GC_1,P5_MILES_SURPRISE,2,52,4.253746498375684e-05,0.9961495211839476
SING_GC_1,P5_MILES_CHG1,2,52,7.406677345968648,0.5439587223619686
SING_GC_1,P5_MILES_CHG4,2,52,-0.6538795333401116,0.8738559909050936
SING_GC_1,P5_MILES_VS_8W,2,52,-9.122976165333093,0.07505028672468302
SING_GC_1,BOTH_MILES_SURPRISE,2,52,0.003746034073270023,0.30424820810448305
SING_GC_1,BOTH_MILES_CHG1,2,52,-3.0257134956105194,0.8312249743881294
SING_GC_1,BOTH_MILES_CHG4,2,52,0.17523906107647913,0.9663212715320002
SING_GC_1,BOTH_MILES_VS_8W,2,52,-9.356875121379916,0.13249530960491046
SING_GC_1,P5_MILES_SURPRISE,4,52,-0.009091813772234537,0.46798150789725457
SING_GC_1,P5_MILES_CHG1,4,52,28.121889070910605,0.11081618344428247
SING_GC_1,P5_MILES_CHG4,4,52,-14.933886933230113,0.08700547025070862
SING_GC_1,P5_MILES_VS_8W,4,52,-20.974051762895517,0.03459732684020096
SING_GC_1,BOTH_MILES_SURPRISE,4,52,0.006961037635146159,0.24650263761804048
SING_GC_1,BOTH_MILES_CHG1,4,52,26.58739117953615,0.14747886833196572
SING_GC_1,BOTH_MILES_CHG4,4,52,-8.545787957142995,0.45238161018387446
SING_GC_1,BOTH_MILES_VS_8W,4,52,-17.127465111134796,0.24583739195379184
LA_JET_M1M2,P5_MILES_SURPRISE,1,52,-0.0043808641734222244,0.26916491430396694
LA_JET_M1M2,P5_MILES_CHG1,1,52,-10.56850540131832,0.17020042816999048
LA_JET_M1M2,P5_MILES_CHG4,1,52,-0.8780033702440271,0.7814494673833258
LA_JET_M1M2,P5_MILES_VS_8W,1,52,0.5215291274549902,0.8583354386898054
LA_JET_M1M2,BOTH_MILES_SURPRISE,1,52,-0.003140365550551587,0.26318346297913486
LA_JET_M1M2,BOTH_MILES_CHG1,1,52,-14.132598867374483,0.2143232577310933
LA_JET_M1M2,BOTH_MILES_CHG4,1,52,-4.356310752392805,0.1365329512538698
LA_JET_M1M2,BOTH_MILES_VS_8W,1,52,-3.7818019807145786,0.2875701215959615
LA_JET_M1M2,P5_MILES_SURPRISE,2,52,-0.0023392666849152677,0.7302813468028377
LA_JET_M1M2,P5_MILES_CHG1,2,52,-14.798737285961156,0.1565827255890837
LA_JET_M1M2,P5_MILES_CHG4,2,52,1.5614396544285674,0.7724036241276611
LA_JET_M1M2,P5_MILES_VS_8W,2,52,4.227955100750774,0.4271706499856216
LA_JET_M1M2,BOTH_MILES_SURPRISE,2,52,-0.0044344701101774,0.23749472436206653
LA_JET_M1M2,BOTH_MILES_CHG1,2,52,-22.390841950258952,0.0797226328634283
LA_JET_M1M2,BOTH_MILES_CHG4,2,52,-4.913754498536263,0.2618121059238733
LA_JET_M1M2,BOTH_MILES_VS_8W,2,52,-3.0604026963206765,0.6305348001864153
LA_JET_M1M2,P5_MILES_SURPRISE,4,52,-0.009489898606263907,0.567169677344496
LA_JET_M1M2,P5_MILES_CHG1,4,52,-18.147817185874306,0.45845093899210954
LA_JET_M1M2,P5_MILES_CHG4,4,52,9.400850770660462,0.29948486249897965
LA_JET_M1M2,P5_MILES_VS_8W,4,52,16.39943329957792,0.11482222564404065
LA_JET_M1M2,BOTH_MILES_SURPRISE,4,52,-0.010413879811605131,0.12234153595890736
LA_JET_M1M2,BOTH_MILES_CHG1,4,52,-35.08075333366216,0.11221667097944739
LA_JET_M1M2,BOTH_MILES_CHG4,4,52,1.014766056518897,0.9109162377188347
LA_JET_M1M2,BOTH_MILES_VS_8W,4,52,11.297095902756228,0.43703849998039934
LA_JET_M2M3,P5_MILES_SURPRISE,1,52,-0.0032734352072018207,0.25198811461170134
LA_JET_M2M3,P5_MILES_CHG1,1,52,-2.0740210486339015,0.6346006963769462
LA_JET_M2M3,P5_MILES_CHG4,1,52,0.2260509256020949,0.9091023260545297
LA_JET_M2M3,P5_MILES_VS_8W,1,52,0.9801780336414578,0.6793830989541213
LA_JET_M2M3,BOTH_MILES_SURPRISE,1,52,-0.0008685582964996605,0.5739988215498463
LA_JET_M2M3,BOTH_MILES_CHG1,1,52,-5.42684507559754,0.2902413508151901
LA_JET_M2M3,BOTH_MILES_CHG4,1,52,0.9383294280994037,0.5533048286066786
LA_JET_M2M3,BOTH_MILES_VS_8W,1,52,2.4034165911427388,0.21429970087888695
LA_JET_M2M3,P5_MILES_SURPRISE,2,52,-0.005730813516143471,0.2686653663470142
LA_JET_M2M3,P5_MILES_CHG1,2,52,0.5201945894341666,0.949283755164645
LA_JET_M2M3,P5_MILES_CHG4,2,52,1.192632418794188,0.7142914831399944
LA_JET_M2M3,P5_MILES_VS_8W,2,52,2.773583889795252,0.4936721443342974
LA_JET_M2M3,BOTH_MILES_SURPRISE,2,52,-0.0005618006947312172,0.8025956702676277
LA_JET_M2M3,BOTH_MILES_CHG1,2,52,-3.070459850830989,0.647785650879583
LA_JET_M2M3,BOTH_MILES_CHG4,2,52,3.9209171234722016,0.1482264027042511
LA_JET_M2M3,BOTH_MILES_VS_8W,2,52,7.3122277973782985,0.06492843899097162
LA_JET_M2M3,P5_MILES_SURPRISE,4,52,-0.01262135026855355,0.37348285377322943
LA_JET_M2M3,P5_MILES_CHG1,4,52,-13.795458659629317,0.45502995744327634
LA_JET_M2M3,P5_MILES_CHG4,4,52,3.5950342602436347,0.4415407962844121
LA_JET_M2M3,P5_MILES_VS_8W,4,52,11.523471293139895,0.10593718585142219
LA_JET_M2M3,BOTH_MILES_SURPRISE,4,52,0.0018531993381504788,0.4587327805072371
LA_JET_M2M3,BOTH_MILES_CHG1,4,52,6.700841851338094,0.4219605584003301
LA_JET_M2M3,BOTH_MILES_CHG4,4,52,16.276812777674465,0.013543231156632068
LA_JET_M2M3,BOTH_MILES_VS_8W,4,52,29.164747905915107,0.004600800435360525
GC_JET_M1M2,P5_MILES_SURPRISE,1,52,0.00066882275682985,0.7550716052029902
GC_JET_M1M2,P5_MILES_CHG1,1,52,0.37518890518317427,0.9308400774041649
GC_JET_M1M2,P5_MILES_CHG4,1,52,-0.4507983554736741,0.6926553225181715
GC_JET_M1M2,P5_MILES_VS_8W,1,52,0.8313138161069171,0.54107515985733
GC_JET_M1M2,BOTH_MILES_SURPRISE,1,52,-0.00016850506666535954,0.8574642465840718
GC_JET_M1M2,BOTH_MILES_CHG1,1,52,5.410294434627865,0.2840690571237282
GC_JET_M1M2,BOTH_MILES_CHG4,1,52,-0.3475866051648866,0.7691251062325635
GC_JET_M1M2,BOTH_MILES_VS_8W,1,52,0.9996485854815641,0.6066306878752246
GC_JET_M1M2,P5_MILES_SURPRISE,2,52,-0.0027844941740511183,0.5429842381653187
GC_JET_M1M2,P5_MILES_CHG1,2,52,-4.8385855495206656,0.4581518033194496
GC_JET_M1M2,P5_MILES_CHG4,2,52,-1.3569683407505249,0.5267922916910602
GC_JET_M1M2,P5_MILES_VS_8W,2,52,2.4006945747922703,0.33571852698018056
GC_JET_M1M2,BOTH_MILES_SURPRISE,2,52,-0.0029343611841956083,0.09667102537584796
GC_JET_M1M2,BOTH_MILES_CHG1,2,52,1.850202191839918,0.8163066746407747
GC_JET_M1M2,BOTH_MILES_CHG4,2,52,-2.24626384829349,0.20992591568360786
GC_JET_M1M2,BOTH_MILES_VS_8W,2,52,1.7068027610640137,0.5787772205023984
GC_JET_M1M2,P5_MILES_SURPRISE,4,52,-0.005392700255096561,0.46711124110472046
