miles,target,period,weeks,error_miles,error_last_week,error_4wk_average,pct_better_than_best_simple,direction_right
P5_MILES,P5_JET_DEMAND,before COVID,53,93.1,140.2,95.9,3.0,0.89
P5_MILES,P5_JET_DEMAND,COVID,13,105.6,140.2,142.8,25.0,0.69
P5_MILES,P5_JET_DEMAND_4W,before COVID,53,37.5,28.2,32.5,-33.0,0.49
P5_MILES,P5_JET_DEMAND_4W,COVID,13,35.9,48.5,93.8,26.0,0.77
BOTH_MILES,US_JET_DEMAND,before COVID,53,167.1,241.8,174.1,4.0,0.75
BOTH_MILES,US_JET_DEMAND,COVID,13,259.2,288.7,376.1,10.0,0.69
BOTH_MILES,US_JET_DEMAND_4W,before COVID,53,93.6,57.3,71.5,-63.0,0.62
BOTH_MILES,US_JET_DEMAND_4W,COVID,13,87.7,132.5,289.4,34.0,0.77
