,group,first_week,weeks,adf_p,kpss_p,verdict,phi,half_life_weeks,pacf_lags_that_matter,typical_weekly_move,acf1_of_changes,r_squared_month,p_month,cluster,vif,rebuilt,rule_1_comes_back,rule_2_half_life,rule_3_moves_1c,rule_4_best_in_cluster,shortlist
LA_DIFF_1,diff,2011-01-07,478,0.039,0.01,shifting level,0.95,13.6,2,1.97,0.14,0.05,0.834,11.0,8.637611928701887,False,True,False,True,False,False
GC_DIFF_1,diff,2011-01-07,478,0.23,0.01,wanders,0.979,32.0,2,1.36,0.06,0.07,0.553,13.0,31.12268941283035,False,False,False,True,False,False
NY_DIFF_1,diff,2014-07-18,294,0.016,0.046,shifting level,0.929,9.4,2,1.23,-0.05,0.09,0.743,13.0,15.894560971860571,False,True,False,True,False,False
GC_JET_BRENT,crack,2011-01-07,478,0.153,0.01,wanders,0.96,16.8,5,2.35,0.04,0.08,0.597,13.0,21.566469423184852,False,False,False,True,False,False
GC_JET_WTI,crack,2011-01-07,478,0.299,0.01,wanders,0.986,50.8,3,3.51,0.13,,,,,True,False,False,True,False,False
HO_BRENT,crack,2011-01-07,478,0.008,0.1,fixed level,0.913,7.7,3,3.01,-0.03,0.18,0.003,7.0,35.65527993080414,False,True,True,True,True,True
HO_WTI,crack,2011-01-07,478,0.096,0.01,wanders,0.97,22.6,2,4.01,0.07,,,,,True,False,False,True,False,False
BRENT_WTI,other,2011-01-07,478,0.31,0.01,wanders,0.98,33.9,4,2.87,0.14,0.01,0.994,3.0,2.495332463584898,False,False,False,True,False,False
HO_GASOIL,other,2011-01-07,478,0.017,0.01,shifting level,0.904,6.8,3,2.43,-0.14,0.06,0.635,7.0,6.139678316585038,False,True,True,True,False,False
NWE_JET_GASOIL,other,2011-01-07,478,0.471,0.01,wanders,0.99,69.9,2,0.96,0.1,0.0,1.0,4.0,2.778922630721011,False,False,False,False,False,False
