spread,model,period,weeks,total_cents,cents_per_year,sharpe,weeks_won,worst_drawdown
GC_JET_M1M2,f_own,2017 to Feb 2020,163,9.4,3.0,0.55,0.51,-8.1
GC_JET_M1M2,f_own,"COVID, Mar to May 2020",14,20.9,77.7,2.36,0.57,-8.7
GC_JET_M1M2,f_fair_value,2017 to Feb 2020,163,8.0,2.5,0.46,0.53,-8.8
GC_JET_M1M2,f_fair_value,"COVID, Mar to May 2020",14,-2.8,-10.3,-0.29,0.5,-12.6
GC_JET_M1M2,f_both,2017 to Feb 2020,163,7.5,2.4,0.43,0.51,-9.6
GC_JET_M1M2,f_both,"COVID, Mar to May 2020",14,-2.8,-10.3,-0.29,0.5,-12.6
HO_BRENT,f_own,2017 to Feb 2020,163,-4.6,-1.5,-0.09,0.49,-20.9
HO_BRENT,f_own,"COVID, Mar to May 2020",14,11.4,42.4,1.09,0.5,-14.1
HO_BRENT,f_fair_value,2017 to Feb 2020,163,7.3,2.3,0.15,0.53,-23.2
HO_BRENT,f_fair_value,"COVID, Mar to May 2020",14,-12.9,-47.9,-1.23,0.43,-31.0
HO_BRENT,f_both,2017 to Feb 2020,163,17.7,5.7,0.36,0.56,-17.3
HO_BRENT,f_both,"COVID, Mar to May 2020",14,-9.2,-34.3,-0.88,0.43,-28.5
LA_GC_1,f_own,2017 to Feb 2020,163,41.8,13.3,1.18,0.55,-11.0
LA_GC_1,f_own,"COVID, Mar to May 2020",14,29.9,111.2,1.4,0.5,-18.1
LA_GC_1,f_fair_value,2017 to Feb 2020,163,43.3,13.8,1.22,0.59,-11.6
LA_GC_1,f_fair_value,"COVID, Mar to May 2020",14,15.0,55.8,0.69,0.43,-17.9
LA_GC_1,f_both,2017 to Feb 2020,163,54.9,17.5,1.57,0.61,-7.9
LA_GC_1,f_both,"COVID, Mar to May 2020",14,4.2,15.5,0.19,0.36,-18.1
LA_JET_M1M2,f_own,2017 to Feb 2020,163,59.5,19.0,1.83,0.64,-6.2
LA_JET_M1M2,f_own,"COVID, Mar to May 2020",14,7.9,29.3,0.3,0.43,-25.9
LA_JET_M1M2,f_fair_value,2017 to Feb 2020,163,55.1,17.6,1.69,0.64,-6.5
LA_JET_M1M2,f_fair_value,"COVID, Mar to May 2020",14,43.5,161.6,1.68,0.57,-25.9
LA_JET_M1M2,f_both,2017 to Feb 2020,163,56.7,18.1,1.74,0.64,-5.1
LA_JET_M1M2,f_both,"COVID, Mar to May 2020",14,8.0,29.9,0.3,0.5,-25.9
LA_JET_M2M3,f_own,2017 to Feb 2020,163,27.3,8.7,1.26,0.55,-7.4
LA_JET_M2M3,f_own,"COVID, Mar to May 2020",14,45.8,170.0,2.57,0.57,-11.3
LA_JET_M2M3,f_fair_value,2017 to Feb 2020,163,37.5,12.0,1.76,0.58,-5.3
LA_JET_M2M3,f_fair_value,"COVID, Mar to May 2020",14,50.1,186.0,2.85,0.79,-9.5
LA_JET_M2M3,f_both,2017 to Feb 2020,163,30.2,9.6,1.4,0.55,-5.3
LA_JET_M2M3,f_both,"COVID, Mar to May 2020",14,49.3,183.3,2.8,0.71,-9.5
NWE_GC_1,f_own,2017 to Feb 2020,163,14.3,4.6,0.49,0.56,-12.5
NWE_GC_1,f_own,"COVID, Mar to May 2020",14,4.9,18.3,0.54,0.57,-13.6
NWE_GC_1,f_fair_value,2017 to Feb 2020,163,24.9,7.9,0.86,0.6,-11.5
NWE_GC_1,f_fair_value,"COVID, Mar to May 2020",14,6.5,24.3,0.72,0.57,-13.6
NWE_GC_1,f_both,2017 to Feb 2020,163,29.9,9.6,1.04,0.6,-11.5
NWE_GC_1,f_both,"COVID, Mar to May 2020",14,3.1,11.6,0.34,0.5,-13.6
NY_GC_1,f_own,2017 to Feb 2020,163,13.3,4.3,0.85,0.55,-7.1
NY_GC_1,f_own,"COVID, Mar to May 2020",14,25.2,93.7,1.87,0.5,-17.8
NY_GC_1,f_fair_value,2017 to Feb 2020,163,15.5,5.0,0.99,0.58,-3.0
NY_GC_1,f_fair_value,"COVID, Mar to May 2020",14,26.2,97.2,1.94,0.57,-17.8
NY_GC_1,f_both,2017 to Feb 2020,163,13.2,4.2,0.84,0.57,-3.0
NY_GC_1,f_both,"COVID, Mar to May 2020",14,26.2,97.2,1.94,0.57,-17.8
SING_GC_1,f_own,2017 to Feb 2020,163,40.5,12.9,1.28,0.57,-13.5
SING_GC_1,f_own,"COVID, Mar to May 2020",14,30.3,112.6,3.87,0.71,-6.3
SING_GC_1,f_fair_value,2017 to Feb 2020,163,17.2,5.5,0.54,0.53,-13.5
SING_GC_1,f_fair_value,"COVID, Mar to May 2020",14,19.0,70.7,2.23,0.79,-12.0
SING_GC_1,f_both,2017 to Feb 2020,163,33.9,10.8,1.07,0.56,-13.5
SING_GC_1,f_both,"COVID, Mar to May 2020",14,19.0,70.7,2.23,0.79,-12.0
WEST_COAST_3,f_fair_value,2017 to Feb 2020,163,135.9,43.4,2.29,0.65,-12.5
SHORTLIST_4,f_fair_value,2017 to Feb 2020,163,105.3,33.6,1.30,0.60,-33.5
