period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
1988-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),462,MBBL
1988-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),15,MBBL/D
1988-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),300,MBBL
1988-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),10,MBBL/D
1990-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),20,MBBL
1990-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),1,MBBL/D
1990-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),10,MBBL
1990-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1991-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1991-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1992-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1992-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1993-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),1,MBBL/D
1993-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),39,MBBL
1994-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),1,MBBL/D
1994-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),25,MBBL
1995-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1995-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1995-12,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
1996-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1996-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),0,MBBL
