period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
1985-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),1,MBBL
1985-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),0,MBBL/D
1987-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),218,MBBL
1987-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),7,MBBL/D
1987-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),382,MBBL
1987-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),13,MBBL/D
1987-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),69,MBBL
1987-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),2,MBBL/D
1987-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),72,MBBL
1987-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),2,MBBL/D
1987-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),780,MBBL
1987-10,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),25,MBBL/D
1987-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),150,MBBL
1987-11,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),5,MBBL/D
1988-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),1250,MBBL
1988-01,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),40,MBBL/D
1988-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),269,MBBL
1988-02,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),9,MBBL/D
1988-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),148,MBBL
1988-03,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),5,MBBL/D
1988-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),56,MBBL
1988-04,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),2,MBBL/D
1988-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),1224,MBBL
1988-05,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),39,MBBL/D
1988-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),138,MBBL
1988-06,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),5,MBBL/D
1988-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),363,MBBL
1988-07,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),12,MBBL/D
1988-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),201,MBBL
1988-08,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),6,MBBL/D
1988-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP21,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels),84,MBBL
1988-09,R20-Z00,PADD 2,EPJK,Kerosene-Type Jet Fuel,IM0,Imports,MKJIMP22,Midwest (PADD 2) Imports of Kerosene-Type Jet Fuel (Thousand Barrels per Day),3,MBBL/D
